,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2012-01-31,2,2,35,163.7277952859063,0.6844364740735603,0.7807505931978128,0.7,0.99,0.99,-10.0,-0.8,-0.05
2012-02-29,2,2,32,161.66060031412022,0.45462996777773074,0.7137318263820022,0.6,0.99,0.99,-20.0,-0.8,-0.05
2012-03-31,2,2,110,145.534696746775,0.3113756795234006,0.8015843063034738,0.7,0.7,0.7,-8.0,-10.0,-0.05
2012-04-30,2,2,14,158.1640342011134,0.3464862054314984,0.7859630311759954,0.5,0.6,0.99,-15.0,-7.0,-0.19999999999999996
2012-05-31,2,2,36,225.59769102292987,0.33883205496565727,0.8362696020815396,0.5,0.7,0.99,-30.0,-10.0,-0.05
2012-06-30,2,2,2,161.26037162676167,0.7199670559599592,0.19871389463991126,0.5,0.99,0.99,-7.0,-0.8,-0.8
2012-07-31,2,3,101,153.00832853342132,0.393158110484309,0.8215634267415304,0.5,0.99,0.5,-15.0,-0.6000000000000001,-0.05
2012-08-31,2,2,103,91.70397382484401,0.3564762159747218,0.7726115335024513,0.6,0.99,0.7,-6.0,-0.6000000000000001,-0.05
2012-09-30,2,2,109,78.32885257873724,0.30856860639599626,0.8041223100962083,0.6,0.7,0.5,-6.0,-7.0,-0.05
2012-10-31,3,2,96,75.52766593459924,0.3315796576672707,0.81798552473717,0.9,0.6,0.6,-4.0,-5.0,-0.05
2012-11-30,2,2,109,71.4302250070378,0.27265943593604236,0.7585655421537578,0.9,0.7,0.7,-6.0,-5.0,-0.05
2012-12-31,2,2,102,90.88849023245346,0.26073654464502294,0.8232887924765983,0.7,0.6,0.7,-4.0,-10.0,-0.05
2013-01-31,2,2,17,86.2749443581001,0.2905658355381212,0.753037386989403,0.5,0.7,0.99,-4.0,-5.0,-0.1
